%loc	type	subtyp	n	ord	thresh	pol0	pol1	pol2	pol3
17	dssd_back	dssd_back	1	2	0	-140.9119883828	3.5302257445	-116.6942134984	3.5151382551
18	dssd_back	dssd_back	1	2	0	-129.9453071177	3.4507482226	-151.9382005141	3.4693059126
19	dssd_back	dssd_back	1	2	0	-126.1715876185	3.5135836657	-146.6379285086	3.5305135825
20	dssd_back	dssd_back	1	2	0	-128.9047483575	3.4868313183	-139.3855803923	3.4980093725
21	dssd_back	dssd_back	1	2	0	-129.784292182	3.528130391	-123.1508676563	3.5269705206
22	dssd_back	dssd_back	1	2	0	-130.2389298144	3.545564919	-115.9490643618	3.5389569523
23	dssd_back	dssd_back	1	2	0	-131.3458908939	3.5635595874	-77.0459762905	3.5270442618
24	dssd_back	dssd_back	1	2	0	-132.0083618117	3.5530623805	-117.7811245402	3.5458749343
25	dssd_back	dssd_back	1	2	0	-118.0865721627	3.4832866143	-107.142307613	3.4794670297
26	dssd_back	dssd_back	1	2	0	-127.2569453644	3.5388992797	-96.901554188	3.5192448107
27	dssd_back	dssd_back	1	2	0	-129.7627882836	3.5547948075	-47.9140458174	3.4973566912
28	dssd_back	dssd_back	1	2	0	-128.5385287255	3.5206256203	-105.6964619798	3.5067351266
29	dssd_back	dssd_back	1	2	0	-129.5973658737	3.5350204986	-94.9268790339	3.5122839892
30	dssd_back	dssd_back	1	2	0	-124.3517050886	3.457923128	-117.232562427	3.4556609378
31	dssd_back	dssd_back	1	2	0	-122.7014187409	3.4144703928	-104.7803273395	3.40447216
32	dssd_back	dssd_back	1	2	0	-123.4769879415	3.3938646394	-114.4707147451	3.3907179611
33	dssd_back	dssd_back	1	2	0	-135.5997928602	3.4408914781	-220.6119840379	3.5061520555
34	dssd_back	dssd_back	1	2	0	-128.1054599016	3.5542056425	-109.031251969	3.5430449667
35	dssd_back	dssd_back	1	2	0	-134.8300276011	3.4689890452	-204.5588812766	3.5235817529
36	dssd_back	dssd_back	1	2	0	-133.2916869739	3.5281120957	-130.3520696438	3.5302180555
37	dssd_back	dssd_back	1	2	0	-135.1667666696	3.5172291385	-128.5013751146	3.5147720643
38	dssd_back	dssd_back	1	2	0	-135.7003964919	3.4686609419	-186.1986519378	3.5094343548
39	dssd_back	dssd_back	1	2	0	-136.1859826959	3.5712503192	-110.6477727675	3.5546167137
40	dssd_back	dssd_back	1	2	0	-132.8859248182	3.5229051094	-149.5336367068	3.5376211047
41	dssd_back	dssd_back	1	2	0	-142.8280685034	3.4852338735	-154.8860569249	3.4970666888
42	dssd_back	dssd_back	1	2	0	-137.1480049486	3.4940272753	-143.1075540986	3.499968879
43	dssd_back	dssd_back	1	2	0	-141.0577514497	3.4771638675	-167.5046168531	3.5004046231
44	dssd_back	dssd_back	1	2	0	-137.3914040862	3.4966206053	-117.161852816	3.4852898641
45	dssd_back	dssd_back	1	2	0	-135.1876563826	3.4752060116	-170.6359463277	3.5039672649
46	dssd_back	dssd_back	1	2	0	-131.6614682634	3.4848571625	-93.6520820513	3.4604102564
47	dssd_back	dssd_back	1	2	0	-127.5853451295	3.4465666659	-117.3272467612	3.4417015199
48	dssd_back	dssd_back	1	2	0	-130.9759444988	3.440465525	-96.214851746	3.4189619181
49	dssd_back	dssd_back	1	2	0	-134.1177897551	3.4707190372	-227.0944794291	3.5410369437
50	dssd_back	dssd_back	1	2	0	-135.9769735266	3.4877682247	-238.8221404866	3.5659627539
51	dssd_back	dssd_back	1	2	0	-133.0926970041	3.5193042327	-179.3987603306	3.5565651881
52	dssd_back	dssd_back	1	2	0	-127.4046732556	3.445994298	-223.2374953068	3.5187309666
53	dssd_back	dssd_back	1	2	0	-133.7122131459	3.5268649909	-169.4983034416	3.555290944
54	dssd_back	dssd_back	1	2	0	-135.934713539	3.4832985528	-210.3499926534	3.5409626162
55	dssd_back	dssd_back	1	2	0	-139.7261466273	3.4510884128	-307.3331743913	3.5750312586
